"","taxa","family","MaxLength","SurveyID","size_class","number"
"1","Labroides_dimidiatus","Labridae",14,"912342231",62.5,1
"2","Labroides_dimidiatus","Labridae",14,"912343420",40,3
"3","Labroides_dimidiatus","Labridae",14,"912343420",50,2
"4","Pomacentrus_bankanensis","Pomacentridae",9,"912345983",20,1
"5","Pomacentrus_bankanensis","Pomacentridae",9,"912343148",50,1
"6","Pomacentrus_bankanensis","Pomacentridae",9,"912343148",62.5,2
"7","Ctenochaetus_binotatus","Acanthuridae",22,"912344184",50,1
"8","Pseudocheilinus_evanidus","Labridae",8,"912341161",30,1
"9","Zanclus_cornutus","Zanclidae",23,"912340542",50,4
"10","Zanclus_cornutus","Zanclidae",23,"912344212",62.5,3
"11","Plectroglyphidodon_lacrymatus","Pomacentridae",10,"912343099",30,1
"12","Plectroglyphidodon_lacrymatus","Pomacentridae",10,"912343099",35,1
"13","Paracirrhites_arcatus","Cirrhitidae",20,"912343279",50,2
"14","Ctenochaetus_cyanocheilus","Acanthuridae",16,"6002227",35,2
"15","Pomacentrus_amboinensis","Pomacentridae",9,"912342031",25,2
"16","Thalassoma_amblycephalum","Labridae",16,"912343302",35,1
"17","Thalassoma_amblycephalum","Labridae",16,"912345476",35,1
"18","Thalassoma_amblycephalum","Labridae",16,"912340510",35,1
"19","Halichoeres_nebulosus","Labridae",12,"2001399",25,3
"20","Halichoeres_nebulosus","Labridae",12,"2001399",30,2
"21","Halichoeres_nebulosus","Labridae",12,"912345871",25,20
"22","Fistularia_commersonii","Fistulariidae",160,"507003175",300,1
"23","Neopomacentrus_azysron","Pomacentridae",7.5,"912351803",20,20
"24","Pomacentrus_adelus","Pomacentridae",8.5,"912345903",20,30
"25","Halichoeres_melanurus","Labridae",12,"912351765",30,1
"26","Halichoeres_melanurus","Labridae",12,"912351800",25,1
"27","Halichoeres_melanurus","Labridae",12,"912347509",25,1
"28","Pomacentrus_moluccensis","Pomacentridae",9,"6003301",20,1
"29","Pomacentrus_moluccensis","Pomacentridae",9,"912346760",20,2
"30","Amblyglyphidodon_leucogaster","Pomacentridae",13,"912350356",35,1
"31","Chaetodon_melannotus","Chaetodontidae",18,"912344534",40,4
"32","Chaetodon_melannotus","Chaetodontidae",18,"912344534",50,6
"33","Chaetodon_melannotus","Chaetodontidae",18,"912345876",40,2
"34","Chaetodon_melannotus","Chaetodontidae",18,"912345876",50,1
"35","Chaetodon_melannotus","Chaetodontidae",18,"912343192",40,1
"36","Plectorhinchus_chaetodonoides","Haemulidae",72,"912344184",200,2
"37","Plectorhinchus_chaetodonoides","Haemulidae",72,"912344216",125,1
"38","Myripristis_kuntee","Holocentridae",26,"912343244",62.5,1
"39","Chaetodon_ulietensis","Chaetodontidae",15,"912344535",35,3
"40","Chaetodon_ulietensis","Chaetodontidae",15,"912347548",62.5,1
"41","Lutjanus_bohar","Lutjanidae",90,"912343124",150,1
"42","Chrysiptera_talboti","Pomacentridae",6,"4000733",12.5,1
"43","Chaetodon_lunula","Chaetodontidae",20,"912342114",50,1
"44","Chaetodon_lunula","Chaetodontidae",20,"912342114",62.5,1
"45","Dischistodus_prosopotaenia","Pomacentridae",17,"912343830",50,1
"46","Chaetodon_unimaculatus","Chaetodontidae",20,"912347406",62.5,1
"47","Chaetodon_unimaculatus","Chaetodontidae",20,"912347406",75,1
"48","Chaetodon_unimaculatus","Chaetodontidae",20,"912347411",50,1
"49","Parupeneus_multifasciatus","Mullidae",35,"912343812",75,1
"50","Acanthochromis_polyacanthus","Pomacentridae",14,"912351763",30,3
"51","Amblyglyphidodon_curacao","Pomacentridae",11,"912344529",40,3
"52","Pomacentrus_lepidogenys","Pomacentridae",9,"912347134",20,1
"53","Pomacentrus_lepidogenys","Pomacentridae",9,"912342383",30,1
"54","Canthigaster_papua","Tetraodontidae",10,"689003057",25,1
"55","Centropyge_bicolor","Pomacanthidae",11,"912345503",35,2
"56","Centropyge_bicolor","Pomacanthidae",11,"912345504",35,2
"57","Centropyge_bicolor","Pomacanthidae",11,"912352102",35,1
"58","Pomacentrus_coelestis","Pomacentridae",9,"912345870",20,2
"59","Coris_batuensis","Labridae",17,"4000716",62.5,2
"60","Dascyllus_reticulatus","Pomacentridae",9,"912343260",20,2
"61","Dascyllus_reticulatus","Pomacentridae",9,"912343260",25,1
"62","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002026",25,1
"63","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002115",25,1
"64","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002120",25,1
"65","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002120",30,2
"66","Heniochus_chrysostomus","Chaetodontidae",18,"912345452",40,1
"67","Chaetodon_aureofasciatus","Chaetodontidae",12.5,"912344289",30,6
"68","Halichoeres_biocellatus","Labridae",12,"912343251",25,1
"69","Choerodon_graphicus","Labridae",51.5,"4000756",112.5,1
"70","Chaetodon_ornatissimus","Chaetodontidae",20,"912342143",75,7
"71","Chromis_iomelas","Pomacentridae",8,"912343341",25,1
"72","Pomacentrus_grammorhynchus","Pomacentridae",9,"912345980",20,10
"73","Pomacentrus_grammorhynchus","Pomacentridae",9,"912345895",20,16
"74","Siganus_argenteus","Siganidae",40,"912343244",150,1
"75","Pomacentrus_vaiuli","Pomacentridae",10,"912343249",125,1
"76","Pomacentrus_vaiuli","Pomacentridae",10,"912343276",25,2
"77","Pomacentrus_vaiuli","Pomacentridae",10,"912343132",25,1
"78","Aprion_virescens","Lutjanidae",112,"912343124",162.5,1
"79","Stegastes_nigricans","Pomacentridae",14,"912343334",30,1
"80","Stegastes_nigricans","Pomacentridae",14,"912343188",30,1
"81","Stegastes_nigricans","Pomacentridae",14,"912344277",40,1
"82","Pseudanthias_pascalus","Serranidae",20,"912343279",62.5,1
"83","Centropyge_loricula","Pomacanthidae",15,"689003740",75,1
"84","Scolopsis_margaritifer","Nemipteridae",28,"912350333",87.5,1
"85","Paracheilinus_nursalim","Labridae",6,"912345982",12.5,1
"86","Stegastes_planifrons","Pomacentridae",13,"912351730",40,1
"87","Stegastes_variabilis","Pomacentridae",12.5,"1003634",40,1
"88","Chaetodon_capistratus","Chaetodontidae",7.5,"1003280",20,6
"89","Haemulon_aurolineatum","Haemulidae",25,"1003280",75,1
"90","Sparisoma_aurofrenatum","Scaridae",28,"912344752",62.5,4
"91","Scorpaena_maderensis","Scorpaenidae",14,"912342048",50,13
"92","Chromis_limbata","Pomacentridae",12,"912342046",25,1
"93","Chromis_limbata","Pomacentridae",12,"912345100",62.5,1
"94","Chromis_limbata","Pomacentridae",12,"912345100",100,1
"95","Aulostomus_strigosus","Aulostomidae",75,"912343025",162.5,1
"96","Aulostomus_strigosus","Aulostomidae",75,"912343029",137.5,3
"97","Stegastes_gascoynei","Pomacentridae",15,"912350242",35,1
"98","Prionurus_microlepidotus","Acanthuridae",70,"2001400",200,1
"99","Achoerodus_viridis","Labridae",100,"2001403",162.5,1
"100","Cheiloprion_labiatus","Pomacentridae",6,"6002185",12.5,7
"101","Chaetodon_mertensii","Chaetodontidae",12.5,"912343131",50,2
"102","Chromis_chrysura","Pomacentridae",14,"912343172",30,1
"103","Chromis_chrysura","Pomacentridae",14,"912345822",30,35
"104","Pomachromis_richardsoni","Pomacentridae",6,"912344182",12.5,11
"105","Pervagor_marginalis","Monacanthidae",6.2,"912342097",12.5,2
"106","Pervagor_marginalis","Monacanthidae",6.2,"912342100",15,2
"107","Pervagor_marginalis","Monacanthidae",6.2,"912342102",12.5,1
"108","Pervagor_marginalis","Monacanthidae",6.2,"912342103",12.5,3
"109","Pervagor_marginalis","Monacanthidae",6.2,"912342104",12.5,1
"110","Pervagor_marginalis","Monacanthidae",6.2,"912342105",12.5,1
"111","Pervagor_marginalis","Monacanthidae",6.2,"912342105",15,1
"112","Pervagor_marginalis","Monacanthidae",6.2,"912342106",25,1
"113","Pervagor_marginalis","Monacanthidae",6.2,"912342108",12.5,13
"114","Pervagor_marginalis","Monacanthidae",6.2,"912342110",15,3
"115","Pervagor_marginalis","Monacanthidae",6.2,"912342116",15,1
"116","Pervagor_marginalis","Monacanthidae",6.2,"912342117",15,1
"117","Chrysiptera_rapanui","Pomacentridae",5.5,"912342426",20,12
"118","Canthigaster_punctatissima","Tetraodontidae",9,"506003845",20,2
"119","Canthigaster_punctatissima","Tetraodontidae",9,"912344817",20,1
"120","Stegastes_acapulcoensis","Pomacentridae",17,"506003797",125,1
"121","Myripristis_leiognathus","Holocentridae",18,"507003796",62.5,1
"122","Stegastes_arcifrons","Pomacentridae",13,"593003380",35,1
"123","Bothus_leopardinus","Bothidae",15,"912344555",40,1
"124","Bothus_leopardinus","Bothidae",15,"912344555",50,1
"125","Pomacentrus_milleri","Pomacentridae",7.5,"6001976",20,2
"126","Stegastes_obreptus","Pomacentridae",12,"6002288",25,1
"127","Sebastapistes_strongia","Scorpaenidae",6,"912340590",12.5,1
"128","Paracheilinus_spp.","Labridae",7.5,"912346024",20,1
"129","Chrysiptera_bleekeri","Pomacentridae",8,"912344525",20,1
"130","Chrysiptera_bleekeri","Pomacentridae",8,"912344525",25,3
"131","Aplodactylus_westralis","Aplodactylidae",63,"6002878",125,2
"132","Aplodactylus_westralis","Aplodactylidae",63,"6002878",150,2
